選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
秋山　翔吾,西武,0.331,121,560,478,158,21,77,13,70,5,83,0,3,0.546,0.416,0.962,8.81,8.55
マギー,巨人,0.317,117,489,438,139,14,64,4,46,1,92,0,15,0.511,0.38,0.892,6.81,6.48
宮_　敏郎,DeNA,0.315,107,437,403,127,11,52,0,31,3,39,0,20,0.457,0.368,0.825,5.59,5.3
大島　洋平,中日,0.313,119,521,476,149,3,29,23,37,4,66,1,5,0.387,0.365,0.752,5.64,5.43
柳田　悠岐,ソフトバンク,0.311,119,504,405,126,29,92,14,85,7,114,0,6,0.595,0.433,1.028,9.34,9.18
丸　佳浩,広島,0.31,125,571,487,151,21,84,12,73,3,98,2,6,0.52,0.399,0.918,7.9,7.71
安部　友裕,広島,0.306,111,403,369,113,3,38,17,23,1,82,9,2,0.382,0.348,0.73,5.17,4.97
浅村　栄斗,西武,0.305,121,538,486,148,16,88,5,37,8,75,1,13,0.471,0.359,0.831,6.04,5.92
坂本　勇人,巨人,0.302,120,516,453,137,14,57,13,59,2,75,0,10,0.457,0.384,0.841,6.52,6.31
ロペス,DeNA,0.301,120,514,482,145,27,92,0,22,2,71,0,9,0.546,0.329,0.874,6.38,6.32
鈴木　誠也,広島,0.3,115,512,437,131,26,90,16,62,6,80,0,12,0.547,0.389,0.936,7.44,7.4
鳥谷　敬,阪神,0.298,121,481,410,122,4,38,7,66,2,50,1,12,0.39,0.396,0.786,5.64,5.46
坂口　智隆,ヤクルト,0.297,116,522,454,135,3,32,4,56,5,62,5,3,0.357,0.379,0.736,5.55,5.4
ペゲーロ,楽天,0.297,98,430,387,115,24,69,3,39,4,111,0,13,0.53,0.367,0.897,6.57,6.42
西川　遥輝,日本ハム,0.296,117,530,456,135,7,32,34,62,3,91,6,6,0.404,0.382,0.785,6.29,6.11
茂木　栄五郎,楽天,0.296,83,372,324,96,15,40,3,42,2,70,3,3,0.503,0.379,0.882,7.06,6.85
田中　広輔,広島,0.294,125,596,506,149,5,52,29,73,8,109,5,3,0.407,0.389,0.796,6.27,6.09
銀次,楽天,0.293,115,475,423,124,3,43,1,50,1,61,0,9,0.374,0.368,0.742,5.19,4.97
中島　宏之,オリックス,0.293,106,419,375,110,9,48,0,34,6,73,0,11,0.413,0.358,0.771,5.27,5.21
筒香　嘉智,DeNA,0.289,117,505,418,121,22,82,1,82,2,95,0,5,0.514,0.406,0.92,7.93,7.75
桑原　将志,DeNA,0.285,121,562,502,143,13,46,9,41,10,92,9,7,0.452,0.351,0.803,5.4,5.2
Ｔ−岡田,オリックス,0.285,118,489,411,117,27,58,0,72,5,114,0,9,0.516,0.397,0.913,7.36,7.29
糸井　嘉男,阪神,0.285,92,390,333,95,12,51,15,51,4,55,0,9,0.429,0.385,0.814,6.01,5.98
小谷野　栄一,オリックス,0.283,110,421,392,111,6,40,0,22,3,52,3,10,0.36,0.325,0.685,4.06,3.98
